what,kind,bundleId,bundleVersion,description,time
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1313784988479
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1313784988480
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1313784988481
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1313784988482
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1313784988483
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1313784988483
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1313784988484
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1313784988485
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1313784988487
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1313784988487
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1313784988488
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1313784988489
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1313784988489
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1313784988490
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1313784988491
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1313784988491
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1313784988492
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1313784988492
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1313784988492
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1313784988493
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1313784988494
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1313784988494
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1313784988494
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1313784988495
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1313784988495
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1313784988496
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1313784988496
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1313784988496
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1313784988497
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1313784988497
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1313784988498
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1313784988498
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1313784988498
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1313784988499
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1313784988499
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1313784988500
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1313784988500
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1313784988500
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1313784988501
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1313784988501
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1313784988502
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1313784988502
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1313784988503
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1313784988503
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1313784988504
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1313784988504
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1313784988505
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1313784988505
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1313784988505
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1313784988506
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1313784988506
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1313784988507
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1313784988507
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1313784988508
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1313784988508
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1313784988509
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1313784988509
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1313784988510
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1313784988511
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1313784988512
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1313784988512
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1313784988513
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1313784988514
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1313784988515
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1313784988531
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1313784988531
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1313784988532
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1313784988532
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1313784988533
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1313784988534
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1313784988534
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1313784988535
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1313784988536
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1313784988537
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1313784988538
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1313784988539
started,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1313784988540
started,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1313784988540
started,bundle,com.altera.sbtgui.ui,11.0.0.157,"com.altera.sbtgui.ui",1313784988541
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1313784988541
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1313784988541
os,sysinfo,,,"linux",1313784988544
arch,sysinfo,,,"x86",1313784988544
ws,sysinfo,,,"gtk",1313784988544
locale,sysinfo,,,"en_US",1313784988544
processors,sysinfo,,,"24",1313784988545
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313784988545
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1313784988545
java.specification.name,sysinfo,,,"Java Platform API Specification",1313784988545
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784988545
java.specification.version,sysinfo,,,"1.6",1313784988545
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784988545
java.version,sysinfo,,,"1.6.0_23",1313784988545
java.vm.info,sysinfo,,,"mixed mode",1313784988545
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1313784988545
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313784988545
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784988545
java.vm.specification.version,sysinfo,,,"1.0",1313784988545
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313784988545
java.vm.version,sysinfo,,,"19.0-b09",1313784988545
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1313784990078
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313784990080
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1313784993161
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313784993249
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1313784993335
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1313784993363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313784993529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785043547
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1313785047331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785053872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785054866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785055356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785056871
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785058116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785059234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785060443
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785095163
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1313785098600
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785099752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785100011
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1313785101362
executed,command,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.popupmenu.removefrombuild",1313785103979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785104817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785105466
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1313785106910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785109718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785112698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785115425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785120339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785120368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785121014
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313785122035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785129842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785149909
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313785151754
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1313785153258
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785153284
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1313785153457
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1313785153460
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785153463
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313785153487
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785160694
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313785162968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313785164877
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313785166011
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785166193
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785166244
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313785166263
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785169481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785169938
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785171490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785172554
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785174354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785175185
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313785181793
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785184265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785188929
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313785189844
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313785190901
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785191744
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785195388
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785198490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313785200189
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785200968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785201986
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313785202505
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1313785204799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785205265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785206599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785206675
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785207145
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313785208618
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785208756
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785208803
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313785208816
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785214856
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313785217893
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785219227
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785221188
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785222186
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785223057
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785224193
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785226274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785227241
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313785227685
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785230000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313785233077
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313785233813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785235259
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785235961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785236681
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785237881
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785239697
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785240553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785242554
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313785243353
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313785243794
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1313785245357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785245667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785247370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785247394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785248137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313785250119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802301445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802302154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802306296
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1313802312368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802316314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802316510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802318208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802327486
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1313802332672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802332849
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1313802376315
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1313802376319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802376330
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1313802377027
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1313802377028
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1313802377153
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1313802377171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802378196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802378229
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802378301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802397673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802398543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802450642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802454170
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1313802454824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802455426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802455457
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1313802462650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802462664
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802467122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802467664
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802467686
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1313802493488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802493503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802497349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802497381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802497491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802536607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802541699
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1313802542910
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313802542988
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1313802543165
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.157,"com.altera.debug.cdi.gdb.plugin",1313802543174
stopped,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1313802543174
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1313802543174
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1313802543175
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1313802543182
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1313802543182
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1313802543198
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1313802543203
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1313802543203
stopped,bundle,com.altera.sbtgui.ui,11.0.0.157,"com.altera.sbtgui.ui",1313802543203
stopped,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1313802543203
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1313802543203
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1313802543203
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1313802543213
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1313802543213
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1313802543213
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1313802543223
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1313802543223
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1313802543241
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1313802543241
